year,mean_vote,count
1902,7.905,1
1920,7.9,1
1921,8.147,1
1922,7.7,1
1924,8.05,1
1925,7.792999999999999,2
1926,7.9,1
1927,8.098,1
1928,8.0,1
1929,7.395,1
1931,7.74775,4
1932,7.779,1
1933,7.6,1
1934,7.822,1
1935,7.42,2
1936,8.282,1
1938,7.3245000000000005,2
1939,7.73825,4
1940,7.69,5
1941,7.569333333333333,3
1942,7.011,1
1943,7.832000000000001,2
1944,8.104,1
1946,7.866333333333333,3
1948,8.032,3
1949,7.915,1
1950,7.87275,4
1951,7.47775,4
1952,7.85375,4
1953,7.723000000000001,5
1954,7.9628571428571435,7
1955,7.5325999999999995,5
1956,7.547166666666667,6
1957,8.190833333333332,6
1958,7.978,2
1959,7.796571428571428,7
1960,7.873333333333334,6
1961,7.5592,5
1962,7.742875,8
1963,7.595750000000001,8
1964,7.577000000000001,6
1965,7.4572,5
1966,7.550857142857143,7
1967,7.469375,8
1968,7.655142857142857,7
1969,7.272799999999999,5
1970,7.0956,5
1971,7.241076923076923,13
1972,7.367,8
1973,7.23295,20
1974,7.489999999999999,9
1975,7.788,9
1976,7.381153846153846,13
1977,7.291666666666667,9
1978,7.283727272727273,11
1979,7.44825,16
1980,7.0958749999999995,16
1981,7.1206875,16
1982,7.1135238095238105,21
1983,6.795470588235294,17
1984,7.056222222222222,27
1985,6.893,36
1986,6.887971428571428,35
1987,6.881242424242424,33
1988,6.984815789473684,38
1989,6.774625,40
1990,6.923941176470588,34
1991,6.990947368421053,38
1992,6.946657894736842,38
1993,6.952965517241379,58
1994,6.9132549019607845,51
1995,6.952430769230769,65
1996,6.713708333333333,48
1997,6.784785714285714,70
1998,6.833469879518073,83
1999,6.876554054054054,74
2000,6.804975903614458,83
2001,6.734613636363636,88
2002,6.6897,100
2003,6.609934579439253,107
2004,6.750741379310345,116
2005,6.551588235294118,119
2006,6.6252121212121216,132
2007,6.73706923076923,130
2008,6.547713235294118,136
2009,6.566143790849673,153
2010,6.556685185185185,162
2011,6.524878787878788,165
2012,6.579850340136055,147
2013,6.626,179
2014,6.65255737704918,183
2015,6.606136363636364,176
2016,6.695530303030303,198
2017,6.681847368421052,190
2018,6.7293743589743595,195
2019,6.869596590909091,176
2020,6.989594339622642,106
2021,6.936482014388489,139
2022,6.966173553719009,121
2023,6.956128440366972,109
2024,6.8592023809523806,84
2025,6.903029411764706,34
