id,imdb_id,title,original_title,genres,overview,tagline,release_year,release_month,release_date,runtime,rating,vote_count,popularity,adult,original_languages,production_countries
1038392,tt22898462,The Conjuring: Last Rites,The Conjuring: Last Rites,['Horror'],Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,The case that ended it all.,2025,09,03,135,6.99,1152,181.8772,False,English,['United States of America']
7451,tt0295701,xXx,xXx,"['Action', 'Adventure', 'Thriller', 'Crime']","Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",A new breed of secret agent.,2002,08,09,124,5.965,4605,144.5066,False,English,['United States of America']
1010581,tt21909764,My Fault,Culpa mía,"['Drama', 'Romance', 'Thriller']","Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",Love can only survive in the shadow of secrets.,2023,06,08,117,7.768,3889,143.574,False,Spanish,['Spain']
617126,tt10676052,The Fantastic 4: First Steps,The Fantastic 4: First Steps,"['Science Fiction', 'Adventure']","Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",Welcome to the family.,2025,07,23,115,7.107,2099,138.8317,False,English,['United States of America']
803796,tt14205554,KPop Demon Hunters,KPop Demon Hunters,"['Fantasy', 'Music', 'Comedy', 'Animation']","When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",They sing. They dance. They battle demons.,2025,06,20,96,8.232,1764,132.3623,False,English,['United States of America']
1156593,tt28510079,Your Fault,Culpa tuya,"['Drama', 'Romance']",The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,Divided by family. Driven by love.,2024,12,26,118,7.144,1428,114.5084,False,Spanish,"['Spain', 'United States of America']"
575265,tt9603208,Mission: Impossible - The Final Reckoning,Mission: Impossible - The Final Reckoning,"['Action', 'Adventure', 'Thriller']","Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",Our lives are the sum of our choices.,2025,05,17,170,7.278,2014,95.2279,False,English,['United States of America']
1061474,tt5950044,Superman,Superman,"['Science Fiction', 'Adventure', 'Action']","Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",Look up.,2025,07,09,130,7.4,3685,92.9576,False,English,['United States of America']
1078605,tt26581740,Weapons,Weapons,"['Horror', 'Mystery']","When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.","Last night at 2:17 AM, every child from Mrs. Gandy's class woke up, got out of bed, went downstairs, opened the front door, walked into the dark ...and they never came back.",2025,08,04,129,7.4,2069,91.8071,False,English,['United States of America']
1417,tt0457430,Pan's Labyrinth,El laberinto del fauno,"['Fantasy', 'Drama', 'War']","In post–civil war Spain, 10-year-old Ofelia moves with her pregnant mother to live under the control of her cruel stepfather. Drawn into a mysterious labyrinth, she meets a faun who reveals that she may be a lost princess from an underground kingdom. To return to her true father, she must complete a series of surreal and perilous tasks that blur the line between reality and fantasy.",Innocence has a power evil cannot imagine.,2006,10,11,118,7.757,11056,86.0126,False,Spanish,"['Mexico', 'Spain', 'United States of America']"
1234821,tt31036941,Jurassic World Rebirth,Jurassic World Rebirth,"['Science Fiction', 'Adventure', 'Action']","Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",A new era is born.,2025,07,01,134,6.4,2378,81.1028,False,English,['United States of America']
1087192,tt26743210,How to Train Your Dragon,How to Train Your Dragon,"['Fantasy', 'Family', 'Action', 'Adventure']","On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",The legend is real.,2025,06,06,125,8.012,2097,68.011,False,English,['United States of America']
756999,tt7144666,The Black Phone,The Black Phone,"['Horror', 'Thriller']","Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",Never talk to strangers.,2022,06,16,103,7.55,5400,66.3936,False,English,['United States of America']
911430,tt16311594,F1,F1,"['Action', 'Drama']",Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,Let's ride.,2025,06,25,156,7.816,2467,63.9117,False,English,['United States of America']
1054867,tt30144839,One Battle After Another,One Battle After Another,"['Action', 'Thriller', 'Crime']","Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.","Some search for battle, others are born into it...",2025,09,23,162,7.739,1030,60.9488,False,English,['United States of America']
354912,tt2380307,Coco,Coco,"['Family', 'Animation', 'Music', 'Adventure']","Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",The celebration of a lifetime.,2017,10,27,105,8.2,20330,59.752,False,English,['United States of America']
1007734,tt28996126,Nobody 2,Nobody 2,"['Action', 'Thriller']","Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",Nobody ruins his vacation.,2025,08,13,89,7.081,880,57.1449,False,English,['United States of America']
1284120,tt29344903,The Ugly Stepsister,Den stygge stesøsteren,"['Horror', 'Comedy', 'Fantasy', 'Drama']","In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye.",If the shoe doesn't fit...,2025,03,07,109,7.3,517,56.9933,False,Norwegian,"['Denmark', 'Norway', 'Poland', 'Sweden']"
157336,tt0816692,Interstellar,Interstellar,"['Adventure', 'Drama', 'Science Fiction']",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Mankind was born on Earth. It was never meant to die here.,2014,11,05,169,8.462,38122,54.9925,False,English,"['United Kingdom', 'United States of America']"
552524,tt11655566,Lilo & Stitch,Lilo & Stitch,"['Family', 'Science Fiction', 'Comedy', 'Adventure']",The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,Hold on to your coconuts.,2025,05,17,108,7.254,1783,51.7401,False,English,['United States of America']
24428,tt0848228,The Avengers,The Avengers,"['Science Fiction', 'Action', 'Adventure']","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Some assembly required.,2012,04,25,143,7.836,33671,49.4799,False,English,['United States of America']
541671,tt7181546,Ballerina,Ballerina,"['Action', 'Thriller', 'Crime']","Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",Vengeance has a new face.,2025,06,04,125,7.324,1906,46.7292,False,English,['United States of America']
574475,tt9619824,Final Destination Bloodlines,Final Destination Bloodlines,"['Horror', 'Mystery']","Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",Death runs in the family.,2025,05,14,110,7.097,2294,43.4987,False,English,['United States of America']
1035259,tt3402138,The Naked Gun,The Naked Gun,"['Comedy', 'Action', 'Crime']",Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr.,The law's reach never stretched this far.,2025,07,30,85,6.571,983,42.2496,False,English,['United States of America']
3933,tt0121164,Corpse Bride,Corpse Bride,"['Romance', 'Fantasy', 'Animation']","In a 19th-century European village, a young man about to be married is whisked away to the underworld and wed to a mysterious corpse bride, while his real bride waits bereft in the land of the living.",There's been a grave misunderstanding.,2005,09,12,77,7.583,9820,41.0288,False,English,"['United Kingdom', 'United States of America']"
1071585,tt26342662,M3GAN 2.0,M3GAN 2.0,"['Action', 'Science Fiction', 'Thriller']","After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.",Miss me?,2025,06,25,120,7.388,937,41.0027,False,English,['United States of America']
615453,tt10627720,Ne Zha,哪吒之魔童降世,"['Animation', 'Fantasy', 'Adventure']","A young boy is born as the reincarnation of a demonic power, into a society that hates and fears him. Destined by prophecy to bring destruction to the world, Nezha must choose between good and evil to see if he can change his fate.",Fight your fate,2019,07,26,110,7.893,696,40.783,False,Mandarin,['China']
933260,tt17526714,The Substance,The Substance,"['Drama', 'Horror', 'Science Fiction']","A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",Have you ever dreamt of a better version of yourself?,2024,09,07,141,7.147,5253,40.1084,False,English,"['France', 'United Kingdom', 'United States of America']"
1022787,tt4900148,Elio,Elio,"['Family', 'Comedy', 'Adventure', 'Animation', 'Science Fiction']","Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.",They asked for our leader. They got... him.,2025,06,18,98,6.971,614,38.6582,False,English,['United States of America']
1241982,tt13622970,Moana 2,Moana 2,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']","After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",The ocean is calling them back.,2024,11,21,100,7.03,2764,37.8618,False,English,"['Canada', 'United States of America']"
14836,tt0327597,Coraline,Coraline,"['Animation', 'Family', 'Fantasy']","Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",Be careful what you wish for.,2009,02,05,100,7.897,8608,37.1315,False,English,['United States of America']
