year,mean_vote,count
1991,6.990947368421053,38
2020,6.989594339622642,106
1988,6.984815789473684,38
2022,6.966173553719009,121
2023,6.956128440366972,109
1993,6.952965517241379,58
1995,6.952430769230769,65
1992,6.946657894736842,38
2021,6.936482014388489,139
1990,6.923941176470588,34
1994,6.9132549019607845,51
2025,6.903029411764706,34
1985,6.893,36
1986,6.887971428571428,35
1987,6.881242424242424,33
1999,6.876554054054054,74
2019,6.869596590909091,176
2024,6.8592023809523806,84
1998,6.833469879518073,83
2000,6.804975903614458,83
1997,6.784785714285714,70
1989,6.774625,40
2004,6.750741379310345,116
2007,6.73706923076923,130
2001,6.734613636363636,88
